symbol,name,broad_sector,micro_sector
FINCABLES,Finolex Cables,Capital Goods,Cables & Wires
RRKABEL,R R Kabel,Capital Goods,Cables & Wires
UNIVCABLES,Universal Cables,Capital Goods,Cables & Wires
PARACABLES,Paramount Communications,Capital Goods,Cables & Wires
DIACABS,Diamond Power Infrastructure,Capital Goods,Cables & Wires
CUMMINSIND,Cummins India,Capital Goods,Engines & Pumps
KIRLOSENG,Kirloskar Oil Engines,Capital Goods,Engines & Pumps
KIRLOSBROS,Kirloskar Brothers,Capital Goods,Engines & Pumps
SHAKTIPUMP,Shakti Pumps (India),Capital Goods,Engines & Pumps
WPIL,WPIL,Capital Goods,Engines & Pumps
ROTO,Roto Pumps,Capital Goods,Engines & Pumps
THERMAX,Thermax,Capital Goods,Industrial Machinery
TRITURBINE,Triveni Turbine,Capital Goods,Industrial Machinery
ELECON,Elecon Engineering,Capital Goods,Industrial Machinery
PRAJIND,Praj Industries,Capital Goods,Industrial Machinery
GMMPFAUDLR,GMM Pfaudler,Capital Goods,Industrial Machinery
ISGEC,Isgec Heavy Engineering,Capital Goods,Industrial Machinery
AIAENG,AIA Engineering,Capital Goods,Industrial Machinery
TIMKEN,Timken India,Capital Goods,Bearings
SKFINDIA,SKF India,Capital Goods,Bearings
SCHAEFFLER,Schaeffler India,Capital Goods,Bearings
NRBBEARING,NRB Bearings,Capital Goods,Bearings
SUZLON,Suzlon Energy,Capital Goods,Renewable Energy Equipment
INOXWIND,Inox Wind,Capital Goods,Renewable Energy Equipment
WAAREEENER,Waaree Energies,Capital Goods,Renewable Energy Equipment
PREMIERENE,Premier Energies,Capital Goods,Renewable Energy Equipment
WEBELSOLAR,Websol Energy System,Capital Goods,Renewable Energy Equipment
KPIGREEN,KPI Green Energy,Capital Goods,Renewable Energy Equipment
DIXON,Dixon Technologies (India),Capital Goods,Electronics Manufacturing Services
KAYNES,Kaynes Technology India,Capital Goods,Electronics Manufacturing Services
SYRMA,Syrma SGS Technology,Capital Goods,Electronics Manufacturing Services
AMBER,Amber Enterprises India,Capital Goods,Electronics Manufacturing Services
AVALON,Avalon Technologies,Capital Goods,Electronics Manufacturing Services
CYIENTDLM,Cyient DLM,Capital Goods,Electronics Manufacturing Services
LT,Larsen & Toubro,Capital Goods,EPC & Infrastructure Contractors
KEC,KEC International,Capital Goods,EPC & Infrastructure Contractors
KPIL,Kalpataru Projects International,Capital Goods,EPC & Infrastructure Contractors
TECHNOE,Techno Electric & Engineering,Capital Goods,EPC & Infrastructure Contractors
ENGINERSIN,Engineers India,Capital Goods,EPC & Infrastructure Contractors
NCC,NCC,Capital Goods,EPC & Infrastructure Contractors
SRF,SRF,Chemicals,Fluorochemicals
NAVINFLUOR,Navin Fluorine International,Chemicals,Fluorochemicals
FLUOROCHEM,Gujarat Fluorochemicals,Chemicals,Fluorochemicals
UPL,UPL,Chemicals,Agrochemicals
PIIND,PI Industries,Chemicals,Agrochemicals
BAYERCROP,Bayer CropScience,Chemicals,Agrochemicals
SUMICHEM,Sumitomo Chemical India,Chemicals,Agrochemicals
DHANUKA,Dhanuka Agritech,Chemicals,Agrochemicals
RALLIS,Rallis India,Chemicals,Agrochemicals
BHARATRAS,Bharat Rasayan,Chemicals,Agrochemicals
SHARDACROP,Sharda Cropchem,Chemicals,Agrochemicals
INSECTICID,Insecticides (India),Chemicals,Agrochemicals
ALKYLAMINE,Alkyl Amines Chemicals,Chemicals,Amines & Intermediates
BALAMINES,Balaji Amines,Chemicals,Amines & Intermediates
AARTIIND,Aarti Industries,Chemicals,Amines & Intermediates
DEEPAKNTR,Deepak Nitrite,Chemicals,Amines & Intermediates
LXCHEM,Laxmi Organic Industries,Chemicals,Amines & Intermediates
ACUTAAS,Acutaas Chemicals (formerly Ami Organics),Chemicals,Amines & Intermediates
VINATIORGA,Vinati Organics,Chemicals,Specialty & Performance Chemicals
CLEAN,Clean Science and Technology,Chemicals,Specialty & Performance Chemicals
FINEORG,Fine Organic Industries,Chemicals,Specialty & Performance Chemicals
GALAXYSURF,Galaxy Surfactants,Chemicals,Specialty & Performance Chemicals
ROSSARI,Rossari Biotech,Chemicals,Specialty & Performance Chemicals
NOCIL,NOCIL,Chemicals,Specialty & Performance Chemicals
ATUL,Atul,Chemicals,Specialty & Performance Chemicals
ANURAS,Anupam Rasayan India,Chemicals,Specialty & Performance Chemicals
ASIANPAINT,Asian Paints,Chemicals,Paints & Coatings
BERGEPAINT,Berger Paints India,Chemicals,Paints & Coatings
KANSAINER,Kansai Nerolac Paints,Chemicals,Paints & Coatings
JSWDULUX,JSW Dulux (formerly Akzo Nobel India),Chemicals,Paints & Coatings
INDIGOPNTS,Indigo Paints,Chemicals,Paints & Coatings
SHALPAINTS,Shalimar Paints,Chemicals,Paints & Coatings
TATACHEM,Tata Chemicals,Chemicals,Chlor-Alkali & Soda Ash
GHCL,GHCL,Chemicals,Chlor-Alkali & Soda Ash
DCW,DCW,Chemicals,Chlor-Alkali & Soda Ash
CHEMPLASTS,Chemplast Sanmar,Chemicals,Chlor-Alkali & Soda Ash
GUJALKALI,Gujarat Alkalies and Chemicals,Chemicals,Chlor-Alkali & Soda Ash
DCMSHRIRAM,DCM Shriram,Chemicals,Chlor-Alkali & Soda Ash
CHAMBLFERT,Chambal Fertilisers and Chemicals,Chemicals,Fertilisers
COROMANDEL,Coromandel International,Chemicals,Fertilisers
FACT,Fertilisers and Chemicals Travancore,Chemicals,Fertilisers
RCF,Rashtriya Chemicals and Fertilizers,Chemicals,Fertilisers
GSFC,Gujarat State Fertilizers & Chemicals,Chemicals,Fertilisers
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals,Chemicals,Fertilisers
DEEPAKFERT,Deepak Fertilisers and Petrochemicals,Chemicals,Fertilisers
PARADEEP,Paradeep Phosphates,Chemicals,Fertilisers
NFL,National Fertilizers,Chemicals,Fertilisers
HDFCBANK,HDFC Bank,Financial Services,Private Banks - Large
ICICIBANK,ICICI Bank,Financial Services,Private Banks - Large
KOTAKBANK,Kotak Mahindra Bank,Financial Services,Private Banks - Large
AXISBANK,Axis Bank,Financial Services,Private Banks - Large
INDUSINDBK,IndusInd Bank,Financial Services,Private Banks - Large
FEDERALBNK,Federal Bank,Financial Services,Private Banks - Mid-size
IDFCFIRSTB,IDFC First Bank,Financial Services,Private Banks - Mid-size
YESBANK,Yes Bank,Financial Services,Private Banks - Mid-size
RBLBANK,RBL Bank,Financial Services,Private Banks - Mid-size
BANDHANBNK,Bandhan Bank,Financial Services,Private Banks - Mid-size
IDBI,IDBI Bank,Financial Services,Private Banks - Mid-size
DCBBANK,DCB Bank,Financial Services,Private Banks - Mid-size
KARURVYSYA,Karur Vysya Bank,Financial Services,Old Private Banks
CUB,City Union Bank,Financial Services,Old Private Banks
J&KBANK,Jammu & Kashmir Bank,Financial Services,Old Private Banks
TMB,Tamilnad Mercantile Bank,Financial Services,Old Private Banks
SOUTHBANK,South Indian Bank,Financial Services,Old Private Banks
KTKBANK,Karnataka Bank,Financial Services,Old Private Banks
CSBBANK,CSB Bank,Financial Services,Old Private Banks
DHANBANK,Dhanlaxmi Bank,Financial Services,Old Private Banks
SBIN,State Bank of India,Financial Services,PSU Banks
UNIONBANK,Union Bank of India,Financial Services,PSU Banks
PNB,Punjab National Bank,Financial Services,PSU Banks
BANKBARODA,Bank of Baroda,Financial Services,PSU Banks
INDIANB,Indian Bank,Financial Services,PSU Banks
CANBK,Canara Bank,Financial Services,PSU Banks
MAHABANK,Bank of Maharashtra,Financial Services,PSU Banks
BANKINDIA,Bank of India,Financial Services,PSU Banks
IOB,Indian Overseas Bank,Financial Services,PSU Banks
UCOBANK,UCO Bank,Financial Services,PSU Banks
CENTRALBK,Central Bank of India,Financial Services,PSU Banks
PSB,Punjab & Sind Bank,Financial Services,PSU Banks
AUBANK,AU Small Finance Bank,Financial Services,Small Finance & Payments Banks
UJJIVANSFB,Ujjivan Small Finance Bank,Financial Services,Small Finance & Payments Banks
EQUITASBNK,Equitas Small Finance Bank,Financial Services,Small Finance & Payments Banks
JSFB,Jana Small Finance Bank,Financial Services,Small Finance & Payments Banks
UTKARSHBNK,Utkarsh Small Finance Bank,Financial Services,Small Finance & Payments Banks
ESAFSFB,ESAF Small Finance Bank,Financial Services,Small Finance & Payments Banks
SURYODAY,Suryoday Small Finance Bank,Financial Services,Small Finance & Payments Banks
FINOPB,Fino Payments Bank,Financial Services,Small Finance & Payments Banks
BAJFINANCE,Bajaj Finance,Financial Services,Consumer & Diversified NBFCs
TATACAP,Tata Capital,Financial Services,Consumer & Diversified NBFCs
LTF,L&T Finance,Financial Services,Consumer & Diversified NBFCs
HDBFS,HDB Financial Services,Financial Services,Consumer & Diversified NBFCs
POONAWALLA,Poonawalla Fincorp,Financial Services,Consumer & Diversified NBFCs
IIFL,IIFL Finance,Financial Services,Consumer & Diversified NBFCs
PIRAMALFIN,Piramal Finance,Financial Services,Consumer & Diversified NBFCs
CGCL,Capri Global Capital,Financial Services,Consumer & Diversified NBFCs
SBICARD,SBI Cards and Payment Services,Financial Services,Consumer & Diversified NBFCs
KISSHT,OnEMI Technology Solutions,Financial Services,Consumer & Diversified NBFCs
FEDFINA,Fedbank Financial Services,Financial Services,Consumer & Diversified NBFCs
SHRIRAMFIN,Shriram Finance,Financial Services,Vehicle Finance
CHOLAFIN,Cholamandalam Investment and Finance Company,Financial Services,Vehicle Finance
M&MFIN,Mahindra & Mahindra Financial Services,Financial Services,Vehicle Finance
SUNDARMFIN,Sundaram Finance,Financial Services,Vehicle Finance
INDOSTAR,IndoStar Capital Finance,Financial Services,Vehicle Finance
MUFIN,Mufin Green Finance,Financial Services,Vehicle Finance
MUTHOOTFIN,Muthoot Finance,Financial Services,Gold Loans
MANAPPURAM,Manappuram Finance,Financial Services,Gold Loans
IIFL,IIFL Finance,Financial Services,Gold Loans
FEDFINA,Fedbank Financial Services,Financial Services,Gold Loans
CREDITACC,Creditaccess Grameen,Financial Services,Microfinance
MUTHOOTMF,Muthoot Microfin,Financial Services,Microfinance
FUSION,Fusion Finance,Financial Services,Microfinance
SATIN,Satin Creditcare Network,Financial Services,Microfinance
SPANDANA,Spandana Sphoorty Financial,Financial Services,Microfinance
ARMANFIN,Arman Financial Services,Financial Services,Microfinance
FIVESTAR,Five-Star Business Finance,Financial Services,MSME & Small-Business Lenders
SBFC,SBFC Finance,Financial Services,MSME & Small-Business Lenders
AYE,Aye Finance,Financial Services,MSME & Small-Business Lenders
UGROCAP,Ugro Capital,Financial Services,MSME & Small-Business Lenders
NORTHARC,Northern Arc Capital,Financial Services,MSME & Small-Business Lenders
MASFIN,MAS Financial Services,Financial Services,MSME & Small-Business Lenders
CSLFINANCE,CSL Finance,Financial Services,MSME & Small-Business Lenders
PAISALO,Paisalo Digital,Financial Services,MSME & Small-Business Lenders
LAXMIINDIA,Laxmi India Finance,Financial Services,MSME & Small-Business Lenders
MANCREDIT,Mangal Credit and Fincorp,Financial Services,MSME & Small-Business Lenders
SGFIN,SG Finserve,Financial Services,MSME & Small-Business Lenders
BAJAJHFL,Bajaj Housing Finance,Financial Services,Housing Finance - Prime
LICHSGFIN,LIC Housing Finance,Financial Services,Housing Finance - Prime
PNBHOUSING,PNB Housing Finance,Financial Services,Housing Finance - Prime
CANFINHOME,Can Fin Homes,Financial Services,Housing Finance - Prime
SAMMAANCAP,Sammaan Capital,Financial Services,Housing Finance - Prime
REPCOHOME,Repco Home Finance,Financial Services,Housing Finance - Prime
AADHARHFC,Aadhar Housing Finance,Financial Services,Housing Finance - Affordable
HOMEFIRST,Home First Finance Company India,Financial Services,Housing Finance - Affordable
APTUS,Aptus Value Housing Finance India,Financial Services,Housing Finance - Affordable
AAVAS,Aavas Financiers,Financial Services,Housing Finance - Affordable
INDIASHLTR,India Shelter Finance Corporation,Financial Services,Housing Finance - Affordable
PFC,Power Finance Corporation,Financial Services,Infrastructure & Power Financiers
RECLTD,REC,Financial Services,Infrastructure & Power Financiers
IRFC,Indian Railway Finance Corporation,Financial Services,Infrastructure & Power Financiers
HUDCO,Housing & Urban Development Corporation,Financial Services,Infrastructure & Power Financiers
IREDA,Indian Renewable Energy Development Agency,Financial Services,Infrastructure & Power Financiers
IFCI,IFCI,Financial Services,Infrastructure & Power Financiers
PFS,PTC India Financial Services,Financial Services,Infrastructure & Power Financiers
TFCILTD,Tourism Finance Corporation of India,Financial Services,Infrastructure & Power Financiers
ICICIAMC,ICICI Prudential Asset Management Company,Financial Services,Asset Management Companies
SBIFUNDS,SBI Funds Management,Financial Services,Asset Management Companies
HDFCAMC,HDFC Asset Management Company,Financial Services,Asset Management Companies
NAM-INDIA,Nippon Life India Asset Management,Financial Services,Asset Management Companies
ABSLAMC,Aditya Birla Sun Life AMC,Financial Services,Asset Management Companies
UTIAMC,UTI Asset Management Company,Financial Services,Asset Management Companies
CRAMC,Canara Robeco Asset Management Company,Financial Services,Asset Management Companies
GAJA,Gaja Alternative Asset Management,Financial Services,Asset Management Companies
360ONE,360 One Wam,Financial Services,Wealth Management
ANANDRATHI,Anand Rathi Wealth,Financial Services,Wealth Management
NUVAMA,Nuvama Wealth Management,Financial Services,Wealth Management
PRUDENT,Prudent Corporate Advisory Services,Financial Services,Wealth Management
MOTILALOFS,Motilal Oswal Financial Services,Financial Services,Wealth Management
GROWW,Billionbrains Garage Ventures,Financial Services,Brokers & Investment Banks
ANGELONE,Angel One,Financial Services,Brokers & Investment Banks
MOTILALOFS,Motilal Oswal Financial Services,Financial Services,Brokers & Investment Banks
CHOICEIN,Choice International,Financial Services,Brokers & Investment Banks
JMFINANCIL,JM Financial,Financial Services,Brokers & Investment Banks
IIFLCAPS,IIFL Capital Services,Financial Services,Brokers & Investment Banks
SHAREINDIA,Share India Securities,Financial Services,Brokers & Investment Banks
MONARCH,Monarch Networth Capital,Financial Services,Brokers & Investment Banks
GEOJITFSL,Geojit Financial Services,Financial Services,Brokers & Investment Banks
SMCGLOBAL,SMC Global Securities,Financial Services,Brokers & Investment Banks
MASTERTR,Master Trust,Financial Services,Brokers & Investment Banks
ARIHANTCAP,Arihant Capital Markets,Financial Services,Brokers & Investment Banks
INDOTHAI,Indo Thai Securities,Financial Services,Brokers & Investment Banks
ARSSBL,Anand Rathi Share and Stock Brokers,Financial Services,Brokers & Investment Banks
DAMCAPITAL,Dam Capital Advisors,Financial Services,Brokers & Investment Banks
GCSL,Gretex Corporate Services,Financial Services,Brokers & Investment Banks
ALGOQUANT,Algoquant Fintech,Financial Services,Brokers & Investment Banks
PNBGILTS,PNB Gilts,Financial Services,Brokers & Investment Banks
FEDDERSHOL,Fedders Holding,Financial Services,Brokers & Investment Banks
BSE,BSE,Financial Services,Exchanges & Market Infrastructure
MCX,Multi Commodity Exchange of India,Financial Services,Exchanges & Market Infrastructure
CDSL,Central Depository Services (India),Financial Services,Exchanges & Market Infrastructure
IEX,Indian Energy Exchange,Financial Services,Exchanges & Market Infrastructure
CAMS,Computer Age Management Services,Financial Services,Exchanges & Market Infrastructure
KFINTECH,Kfin Technologies,Financial Services,Exchanges & Market Infrastructure
CRISIL,Crisil,Financial Services,Credit Rating Agencies
CARERATING,CARE Ratings,Financial Services,Credit Rating Agencies
ICRA,ICRA,Financial Services,Credit Rating Agencies
LICI,Life Insurance Corporation Of India,Financial Services,Life Insurance
SBILIFE,SBI Life Insurance Company,Financial Services,Life Insurance
HDFCLIFE,HDFC Life Insurance Company,Financial Services,Life Insurance
ICICIPRULI,ICICI Prudential Life Insurance Company,Financial Services,Life Insurance
MFSL,Max Financial Services,Financial Services,Life Insurance
CANHLIFE,Canara HSBC Life Insurance Company,Financial Services,Life Insurance
ICICIGI,ICICI Lombard General Insurance Company,Financial Services,General & Health Insurance
NIACL,New India Assurance Company,Financial Services,General & Health Insurance
STARHEALTH,Star Health and Allied Insurance Company,Financial Services,General & Health Insurance
NIVABUPA,Niva Bupa Health Insurance Company,Financial Services,General & Health Insurance
GODIGIT,Go Digit General Insurance,Financial Services,General & Health Insurance
GICRE,General Insurance Corporation of India,Financial Services,General & Health Insurance
PAYTM,One 97 Communications,Financial Services,Fintech & Payments
PINELABS,Pine Labs,Financial Services,Fintech & Payments
POLICYBZR,PB Fintech,Financial Services,Fintech & Payments
CCAVENUE,AvenuesAI,Financial Services,Fintech & Payments
TURTLEMINT,Turtlemint Fintech Solutions,Financial Services,Fintech & Payments
KISSHT,OnEMI Technology Solutions,Financial Services,Fintech & Payments
GROWW,Billionbrains Garage Ventures,Financial Services,Fintech & Payments
STYL,Seshaasai Technologies,Financial Services,Fintech & Payments
BAJAJFINSV,Bajaj Finserv,Financial Services,Financial Conglomerates
ABCAPITAL,Aditya Birla Capital,Financial Services,Financial Conglomerates
JIOFIN,Jio Financial Services,Financial Services,Financial Conglomerates
EDELWEISS,Edelweiss Financial Services,Financial Services,Financial Conglomerates
RELIGARE,Religare Enterprises,Financial Services,Financial Conglomerates
BAJAJHLDNG,Bajaj Holdings & Investment,Financial Services,Holding & Investment Companies
TATAINVEST,Tata Investment Corporation,Financial Services,Holding & Investment Companies
MAHSCOOTER,Maharashtra Scooters,Financial Services,Holding & Investment Companies
JSWHL,JSW Holdings,Financial Services,Holding & Investment Companies
TSFINV,Tsf Investments,Financial Services,Holding & Investment Companies
CHOLAHLDNG,Cholamandalam Financial Holdings,Financial Services,Holding & Investment Companies
AIIL,Authum Investment & Infrastructure,Financial Services,Holding & Investment Companies
IITL,Industrial Investment Trust,Financial Services,Holding & Investment Companies
ASHIKAG,Ashika Global Securities,Financial Services,Holding & Investment Companies
